Name,Location, State,Tuition and fees,Undergrad Enrollment,Rank
Princeton University,Princeton, NJ,45320,5402,1
Harvard University,Cambridge, MA,47074,6699,2
University of Chicago,Chicago, IL,52491,5844,3
Yale University,New Haven, CT,49480,5532,3
Columbia University,New York, NY,55056,6102,5
Stanford University,Stanford, CA,47940,6999,5
Massachusetts Institute of Technology,Cambridge, MA,48452,4527,7
Duke University,Durham, NC,51265,6639,8
University of Pennsylvania,Philadelphia, PA,51464,9726,8
Johns Hopkins University,Baltimore, MD,50410,6524,10
Dartmouth College,Hanover, NH,51438,4307,11
California Institute of Technology,Pasadena, CA,47577,1001,12
Northwestern University,Evanston, IL,50855,8314,12
Brown University,Providence, RI,51367,6652,14
Cornell University,Ithaca, NY,50953,14315,15
Rice University,Houston, TX,43918,3910,15
University of Notre Dame,Notre Dame, IN,49685,8462,15
Vanderbilt University,Nashville, TN,45610,6883,15
Washington University in St. Louis,St. Louis, MO,49770,7504,19
Emory University,Atlanta, GA,47954,6867,20
Georgetown University,Washington, DC,50547,7562,20
University of California--Berkeley,Berkeley, CA,40191,27496,20
University of Southern California,Los Angeles, CA,52217,18810,23
Carnegie Mellon University,Pittsburgh, PA,52040,6454,24
University of California--Los Angeles,Los Angeles, CA,39518,29585,24
University of Virginia,Charlottesville, VA,45066,16736,24
Tufts University,Medford, MA,52430,5290,27
University of Michigan--Ann Arbor,Ann Arbor, MI,43476,28312,27
Wake Forest University,Winston-Salem, NC,49308,4871,27
University of North Carolina--Chapel Hill,Chapel Hill, NC,33916,18415,30
Boston College,Chestnut Hill, MA,51296,9192,31
College of William & Mary,Williamsburg, VA,41718,6301,32
University of Rochester,Rochester, NY,50142,6304,32
Brandeis University,Waltham, MA,51570,3621,34
Georgia Institute of Technology,Atlanta, GA,32404,15142,34
New York University,New York, NY,49062,25722,36
Case Western Reserve University,Cleveland, OH,46006,5121,37
University of California--Santa Barbara,Santa Barbara, CA,40704,20607,37
Boston University,Boston, MA,50240,17932,39
Northeastern University,Boston, MA,47655,13697,39
Rensselaer Polytechnic Institute,Troy, NY,50797,5864,39
Tulane University,New Orleans, LA,51010,6662,39
University of California--Irvine,Irvine, CA,39458,25256,39
Lehigh University,Bethlehem, PA,48320,5075,44
University of California--Davis,Davis, CA,40728,28384,44
University of California--San Diego,La Jolla, CA,41387,26590,44
University of Illinois--Urbana-Champaign,Champaign, IL,31320,33368,44
University of Miami,Coral Gables, FL,47004,11122,44
University of Wisconsin--Madison,Madison, WI,32738,31662,44
Pepperdine University,Malibu, CA,50022,3533,50
University of Florida,Gainesville, FL,28666,35043,50
Villanova University,Villanova, PA,49280,6994,50
Pennsylvania State University--University Park,University Park, PA,32382,40742,50
Ohio State University--Columbus,Columbus, OH,29229,45289,54
University of Washington,Seattle, WA,34791,31063,54
George Washington University,Washington, DC,51950,11157,56
Southern Methodist University,Dallas, TX,50358,6411,56
University of Georgia,Athens, GA,29844,27547,56
University of Texas--Austin,Austin, TX,34676,39619,56
Fordham University,New York, NY,47317,8855,60
Purdue University--West Lafayette,West Lafayette, IN,28804,29497,60
Syracuse University,Syracuse, NY,45022,15196,60
University of Connecticut,Storrs, CT,35858,18826,60
University of Maryland--College Park,College Park, MD,32045,27443,60
Worcester Polytechnic Institute,Worcester, MA,46994,4299,60
Clemson University,Clemson, SC,32796,18016,66
Yeshiva University,New York, NY,40670,2744,66
Brigham Young University--Provo,Provo, UT,5300,30221,68
University of Pittsburgh,Pittsburgh, PA,29758,18908,68
Rutgers University--New Brunswick,Piscataway, NJ,30023,35484,70
Baylor University,Waco, TX,42006,14189,71
Stevens Institute of Technology,Hoboken, NJ,48838,2873,71
University of Minnesota--Twin Cities,Minneapolis, MN,22210,34071,71
American University,Washington, DC,44853,7909,74
Clark University,Worcester, MA,43150,2397,74
Texas A&M University--College Station,College Station, TX,28768,48960,74
University of Massachusetts--Amherst,Amherst, MA,30123,22748,74
Virginia Tech,Blacksburg, VA,29371,25384,74
Miami University--Oxford,Oxford, OH,31592,16387,79
University of California--Santa Cruz,Santa Cruz, CA,40241,16231,79
University of Delaware,Newark, DE,31420,18322,79
Colorado School of Mines,Golden, CO,34828,4608,82
Michigan State University,East Lansing, MI,39090,39143,82
Texas Christian University,Fort Worth, TX,42670,8894,82
University of Iowa,Iowa City, IA,28413,23357,82
Binghamton University--SUNY,Binghamton, NY,22164,13491,86
Indiana University--Bloomington,Bloomington, IN,34246,38364,86
Marquette University,Milwaukee, WI,38470,8334,86
University of Denver,Denver, CO,46362,5758,86
University of San Diego,San Diego, CA,46140,5647,86
University of Tulsa,Tulsa, OK,38796,3478,86
Florida State University,Tallahassee, FL,24673,32706,92
North Carolina State University--Raleigh,Raleigh, NC,26399,24111,92
University of Colorado--Boulder,Boulder, CO,35079,27010,92
University of Vermont,Burlington, VT,40364,10973,92
Drexel University,Philadelphia, PA,51030,14138,96
Saint Louis University,St. Louis, MO,40726,8248,96
Stony Brook University--SUNY,Stony Brook, NY,26266,16831,96
Auburn University,Auburn, AL,28840,21786,99
Loyola University Chicago,Chicago, IL,41384,11079,99
SUNY College of Environmental Science and Forestry,Syracuse, NY,17620,1839,99
University at Buffalo--SUNY,Buffalo, NY,26270,19951,99
Illinois Institute of Technology,Chicago, IL,45214,2991,103
University of Alabama,Tuscaloosa, AL,26950,31958,103
University of Oregon,Eugene, OR,33442,20538,103
University of Tennessee,Knoxville, TN,30858,21863,103
Rochester Institute of Technology,Rochester, NY,38568,12607,107
University of New Hampshire,Durham, NH,31424,13034,107
University of San Francisco,San Francisco, CA,44494,6782,107
University of South Carolina,Columbia, SC,31282,25237,107
Iowa State University,Ames, IA,21483,30034,111
University of Dayton,Dayton, OH,40940,8665,111
University of Missouri,Columbia, MO,25892,27812,111
University of Nebraska--Lincoln,Lincoln, NE,23148,20182,111
University of Oklahoma,Norman, OK,21451,22132,111
University of the Pacific,Stockton, CA,44588,3735,111
University of Utah,Salt Lake City, UT,27039,23794,111
Michigan Technological University,Houghton, MI,30968,5721,118
Seton Hall University,South Orange, NJ,39258,6090,118
Temple University,Philadelphia, PA,25994,28609,118
University of California--Riverside,Riverside, CA,40263,18608,118
University of Kansas,Lawrence, KS,25932,19245,118
University of St. Thomas,St. Paul, MN,39594,6240,118
The Catholic University of America,Washington, DC,42536,3480,124
DePaul University,Chicago, IL,37626,15961,124
Duquesne University,Pittsburgh, PA,35062,5961,124
Howard University,Washington, DC,24908,6883,124
University of Arizona,Tucson, AZ,30025,33732,124
